stage1,stage,group,group_rate,res_type,res_id,res_number,item_rate,initial_production_number,production_number,production_interval
,,1,245,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
505030,505050,0,588,2,10,1,1,,,
,,1,252,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
506001,506038,0,588,2,10,1,1,,,
,,1,252,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
506039,506050,0,581,2,10,1,1,,,
,,1,259,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
507001,507047,0,581,2,10,1,1,,,
,,1,259,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
507048,507055,0,574,2,10,1,1,,,
,,1,266,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
508001,508051,0,574,2,10,1,1,,,
,,1,266,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
508052,508060,0,567,2,10,1,1,,,
,,1,273,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
509001,509050,0,567,2,10,1,1,,,
,,1,273,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
509051,509065,0,560,2,10,1,1,,,
,,1,280,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
601001,601044,0,560,2,10,1,1,,,
,,1,280,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
601045,601055,0,553,2,10,1,1,,,
,,1,287,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
602001,602048,0,553,2,10,1,1,,,
,,1,287,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
602049,602055,0,546,2,10,1,1,,,
,,1,294,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
603001,603052,0,546,2,10,1,1,,,
,,1,294,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
603053,603060,0,539,2,10,1,1,,,
,,1,301,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
604001,604051,0,539,2,10,1,1,,,
,,1,301,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
604052,604065,0,532,2,10,1,1,,,
,,1,308,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
605001,605045,0,532,2,10,1,1,,,
,,1,308,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
605046,605070,0,525,2,10,1,1,,,
,,1,315,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
606001,606034,0,525,2,10,1,1,,,
,,1,315,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
606035,606070,0,518,2,10,1,1,,,
,,1,322,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
607001,607023,0,518,2,10,1,1,,,
,,1,322,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
607024,607075,0,511,2,10,1,1,,,
,,1,329,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
608001,608007,0,511,2,10,1,1,,,
,,1,329,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
608008,608066,0,504,2,10,1,1,,,
,,1,336,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
608067,608080,0,497,2,10,1,1,,,
,,1,343,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
609001,609045,0,497,2,10,1,1,,,
,,1,343,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
609046,609090,0,490,2,10,1,1,,,
,,1,350,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
610001,610014,0,490,2,10,1,1,,,
,,1,350,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
610015,610073,0,483,2,10,1,1,,,
,,1,357,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
610074,610095,0,476,2,10,1,1,,,
,,1,364,2,11,1,1,,,
,,2,37,3,1019,1,1,,,
,,,,3,2019,1,1,,,
,,,,3,3019,1,1,,,
,,,,3,4019,1,1,,,
,,3,2,3,1020,1,1,,,
,,,,3,2020,1,1,,,
,,,,3,3020,1,1,,,
,,,,3,4020,1,1,,,
,,4,1,3,1021,1,1,,,
,,,,3,2021,1,1,,,
,,,,3,3021,1,1,,,
,,,,3,4021,1,1,,,
