stage,exp_train,res_type,res_id,res_number
,,2,10,113
,,8,0,153
402009,4,2,0,226
,,2,10,113
,,8,0,153
402010,4,2,0,226
,,2,10,113
,,8,0,153
402011,4,2,0,228
,,2,10,114
,,8,0,154
402012,4,2,0,228
,,2,10,114
,,8,0,154
402013,4,2,0,228
,,2,10,114
,,8,0,154
402014,4,2,0,228
,,2,10,114
,,8,0,154
402015,4,2,0,228
,,2,10,114
,,8,0,154
402016,4,2,0,230
,,2,10,115
,,8,0,155
402017,4,2,0,230
,,2,10,115
,,8,0,155
402018,4,2,0,230
,,2,10,115
,,8,0,155
402019,4,2,0,230
,,2,10,115
,,8,0,155
402020,4,2,0,230
,,2,10,115
,,8,0,155
402021,4,2,0,232
,,2,10,116
,,8,0,156
402022,4,2,0,232
,,2,10,116
,,8,0,156
402023,4,2,0,232
,,2,10,116
,,8,0,156
402024,4,2,0,232
,,2,10,116
,,8,0,156
402025,4,2,0,232
,,2,10,116
,,8,0,156
402026,4,2,0,234
,,2,10,117
,,8,0,157
402027,4,2,0,234
,,2,10,117
,,8,0,157
402028,4,2,0,234
,,2,10,117
,,8,0,157
402029,4,2,0,234
,,2,10,117
,,8,0,157
402030,4,2,0,234
,,2,10,117
,,8,0,157
403001,4,2,0,236
,,2,10,118
,,8,0,158
403002,4,2,0,236
,,2,10,118
,,8,0,158
403003,4,2,0,236
,,2,10,118
,,8,0,158
403004,4,2,0,236
,,2,10,118
,,8,0,158
403005,4,2,0,236
,,2,10,118
,,8,0,158
403006,4,2,0,238
,,2,10,119
,,8,0,159
403007,4,2,0,238
,,2,10,119
,,8,0,159
403008,4,2,0,238
,,2,10,119
,,8,0,159
403009,4,2,0,238
,,2,10,119
,,8,0,159
403010,4,2,0,238
,,2,10,119
,,8,0,159
403011,4,2,0,240
,,2,10,120
,,8,0,160
403012,4,2,0,240
,,2,10,120
,,8,0,160
403013,4,2,0,240
,,2,10,120
,,8,0,160
403014,4,2,0,240
,,2,10,120
,,8,0,160
403015,4,2,0,240
,,2,10,120
,,8,0,160
403016,4,2,0,242
,,2,10,121
,,8,0,161
403017,4,2,0,242
,,2,10,121
,,8,0,161
403018,4,2,0,242
,,2,10,121
,,8,0,161
403019,4,2,0,242
,,2,10,121
,,8,0,161
403020,4,2,0,242
,,2,10,121
,,8,0,161
403021,4,2,0,244
,,2,10,122
,,8,0,162
403022,4,2,0,244
,,2,10,122
,,8,0,162
403023,4,2,0,244
,,2,10,122
,,8,0,162
403024,4,2,0,244
,,2,10,122
,,8,0,162
403025,4,2,0,244
,,2,10,122
,,8,0,162
403026,4,2,0,246
,,2,10,123
,,8,0,163
403027,4,2,0,246
,,2,10,123
,,8,0,163
403028,4,2,0,246
,,2,10,123
,,8,0,163
403029,4,2,0,246
,,2,10,123
,,8,0,163
403030,4,2,0,246
,,2,10,123
,,8,0,163
403031,4,2,0,248
,,2,10,124
,,8,0,164
403032,4,2,0,248
,,2,10,124
,,8,0,164
403033,4,2,0,248
,,2,10,124
,,8,0,164
403034,4,2,0,248
,,2,10,124
,,8,0,164
403035,4,2,0,248
,,2,10,124
,,8,0,164
404001,4,2,0,250
,,2,10,125
,,8,0,165
404002,4,2,0,250
,,2,10,125
,,8,0,165
404003,4,2,0,250
,,2,10,125
,,8,0,165
404004,4,2,0,250
,,2,10,125
,,8,0,165
404005,4,2,0,250
,,2,10,125
,,8,0,165
404006,4,2,0,252
,,2,10,126
,,8,0,166
404007,4,2,0,252
,,2,10,126
,,8,0,166
404008,4,2,0,252
,,2,10,126
,,8,0,166
404009,4,2,0,252
,,2,10,126
,,8,0,166
404010,4,2,0,252
,,2,10,126
,,8,0,166
404011,4,2,0,254
,,2,10,127
,,8,0,167
404012,4,2,0,254
,,2,10,127
,,8,0,167
404013,4,2,0,254
,,2,10,127
,,8,0,167
404014,4,2,0,254
,,2,10,127
,,8,0,167
404015,4,2,0,254
,,2,10,127
,,8,0,167
404016,4,2,0,256
,,2,10,128
,,8,0,168
404017,4,2,0,256
,,2,10,128
,,8,0,168
404018,4,2,0,256
,,2,10,128
,,8,0,168
404019,4,2,0,256
,,2,10,128
,,8,0,168
404020,4,2,0,256
,,2,10,128
,,8,0,168
404021,4,2,0,258
,,2,10,129
,,8,0,169
404022,4,2,0,258
,,2,10,129
,,8,0,169
404023,4,2,0,258
,,2,10,129
,,8,0,169
404024,4,2,0,258
,,2,10,129
,,8,0,169
404025,4,2,0,258
,,2,10,129
,,8,0,169
404026,4,2,0,260
,,2,10,130
,,8,0,170
404027,4,2,0,260
,,2,10,130
,,8,0,170
404028,4,2,0,260
,,2,10,130
,,8,0,170
404029,4,2,0,260
,,2,10,130
,,8,0,170
404030,4,2,0,260
,,2,10,130
,,8,0,170
404031,4,2,0,262
,,2,10,131
,,8,0,171
404032,4,2,0,262
,,2,10,131
,,8,0,171
404033,4,2,0,262
,,2,10,131
,,8,0,171
404034,4,2,0,262
,,2,10,131
,,8,0,171
404035,4,2,0,262
,,2,10,131
,,8,0,171
405001,4,2,0,264
,,2,10,132
,,8,0,172
405002,4,2,0,264
,,2,10,132
,,8,0,172
405003,4,2,0,264
,,2,10,132
,,8,0,172
405004,4,2,0,264
,,2,10,132
,,8,0,172
405005,4,2,0,264
,,2,10,132
,,8,0,172
405006,4,2,0,266
,,2,10,133
,,8,0,173
405007,4,2,0,266
,,2,10,133
,,8,0,173
405008,4,2,0,266
,,2,10,133
,,8,0,173
405009,4,2,0,266
,,2,10,133
,,8,0,173
405010,4,2,0,266
,,2,10,133
,,8,0,173
405011,4,2,0,268
,,2,10,134
,,8,0,174
405012,4,2,0,268
,,2,10,134
,,8,0,174
405013,4,2,0,268
,,2,10,134
,,8,0,174
405014,4,2,0,268
,,2,10,134
,,8,0,174
405015,4,2,0,268
,,2,10,134
,,8,0,174
405016,4,2,0,270
,,2,10,135
,,8,0,175
405017,4,2,0,270
,,2,10,135
,,8,0,175
405018,4,2,0,270
,,2,10,135
,,8,0,175
405019,4,2,0,270
,,2,10,135
,,8,0,175
405020,4,2,0,270
,,2,10,135
,,8,0,175
405021,4,2,0,272
,,2,10,136
,,8,0,176
405022,4,2,0,272
,,2,10,136
,,8,0,176
405023,4,2,0,272
,,2,10,136
,,8,0,176
405024,4,2,0,272
,,2,10,136
,,8,0,176
405025,4,2,0,272
,,2,10,136
,,8,0,176
405026,4,2,0,274
,,2,10,137
,,8,0,177
405027,4,2,0,274
,,2,10,137
,,8,0,177
405028,4,2,0,274
,,2,10,137
,,8,0,177
405029,4,2,0,274
,,2,10,137
,,8,0,177
405030,4,2,0,274
,,2,10,137
,,8,0,177
405031,4,2,0,276
,,2,10,138
,,8,0,178
405032,4,2,0,276
,,2,10,138
,,8,0,178
405033,4,2,0,276
,,2,10,138
,,8,0,178
405034,4,2,0,276
,,2,10,138
,,8,0,178
405035,4,2,0,276
,,2,10,138
,,8,0,178
405036,4,2,0,278
,,2,10,139
,,8,0,179
405037,4,2,0,278
,,2,10,139
,,8,0,179
405038,4,2,0,278
,,2,10,139
,,8,0,179
405039,4,2,0,278
,,2,10,139
,,8,0,179
405040,4,2,0,278
,,2,10,139
,,8,0,179
406001,4,2,0,280
,,2,10,140
,,8,0,180
406002,4,2,0,280
,,2,10,140
,,8,0,180
406003,4,2,0,280
,,2,10,140
,,8,0,180
406004,4,2,0,280
,,2,10,140
,,8,0,180
406005,4,2,0,280
,,2,10,140
,,8,0,180
406006,4,2,0,282
,,2,10,141
,,8,0,181
406007,4,2,0,282
,,2,10,141
,,8,0,181
406008,4,2,0,282
,,2,10,141
,,8,0,181
406009,4,2,0,282
,,2,10,141
,,8,0,181
406010,4,2,0,282
,,2,10,141
,,8,0,181
406011,4,2,0,284
,,2,10,142
,,8,0,182
406012,4,2,0,284
,,2,10,142
,,8,0,182
406013,4,2,0,284
,,2,10,142
,,8,0,182
406014,4,2,0,284
,,2,10,142
,,8,0,182
406015,4,2,0,284
,,2,10,142
,,8,0,182
406016,4,2,0,286
,,2,10,143
,,8,0,183
406017,4,2,0,286
,,2,10,143
,,8,0,183
406018,4,2,0,286
,,2,10,143
,,8,0,183
406019,4,2,0,286
,,2,10,143
,,8,0,183
406020,4,2,0,286
,,2,10,143
,,8,0,183
406021,4,2,0,288
,,2,10,144
,,8,0,184
406022,4,2,0,288
,,2,10,144
,,8,0,184
406023,4,2,0,288
,,2,10,144
,,8,0,184
406024,4,2,0,288
,,2,10,144
,,8,0,184
406025,4,2,0,288
,,2,10,144
,,8,0,184
406026,4,2,0,290
,,2,10,145
,,8,0,185
406027,4,2,0,290
,,2,10,145
,,8,0,185
406028,4,2,0,290
,,2,10,145
,,8,0,185
406029,4,2,0,290
,,2,10,145
,,8,0,185
406030,4,2,0,290
,,2,10,145
,,8,0,185
406031,4,2,0,292
,,2,10,146
,,8,0,186
406032,4,2,0,292
,,2,10,146
,,8,0,186
406033,4,2,0,292
,,2,10,146
,,8,0,186
406034,4,2,0,292
,,2,10,146
,,8,0,186
406035,4,2,0,292
,,2,10,146
,,8,0,186
406036,4,2,0,294
,,2,10,147
,,8,0,187
406037,4,2,0,294
,,2,10,147
,,8,0,187
406038,4,2,0,294
,,2,10,147
,,8,0,187
406039,4,2,0,294
,,2,10,147
,,8,0,187
406040,4,2,0,294
,,2,10,147
,,8,0,187
406041,4,2,0,296
,,2,10,148
,,8,0,188
406042,4,2,0,296
,,2,10,148
,,8,0,188
406043,4,2,0,296
,,2,10,148
,,8,0,188
406044,4,2,0,296
,,2,10,148
,,8,0,188
406045,4,2,0,296
,,2,10,148
,,8,0,188
406046,4,2,0,298
,,2,10,149
,,8,0,189
406047,4,2,0,298
,,2,10,149
,,8,0,189
406048,4,2,0,298
,,2,10,149
,,8,0,189
406049,4,2,0,298
,,2,10,149
,,8,0,189
406050,4,2,0,298
,,2,10,149
,,8,0,189
407001,4,2,0,300
,,2,10,150
,,8,0,190
407002,4,2,0,300
,,2,10,150
,,8,0,190
407003,4,2,0,300
,,2,10,150
,,8,0,190
407004,4,2,0,300
,,2,10,150
,,8,0,190
407005,4,2,0,300
,,2,10,150
,,8,0,190
407006,4,2,0,302
,,2,10,151
,,8,0,191
407007,4,2,0,302
,,2,10,151
,,8,0,191
407008,4,2,0,302
,,2,10,151
,,8,0,191
407009,4,2,0,302
,,2,10,151
,,8,0,191
407010,4,2,0,302
,,2,10,151
,,8,0,191
407011,4,2,0,304
,,2,10,152
,,8,0,192
407012,4,2,0,304
,,2,10,152
,,8,0,192
407013,4,2,0,304
,,2,10,152
,,8,0,192
407014,4,2,0,304
,,2,10,152
,,8,0,192
407015,4,2,0,304
,,2,10,152
,,8,0,192
407016,4,2,0,306
,,2,10,153
,,8,0,193
407017,4,2,0,306
,,2,10,153
,,8,0,193
407018,4,2,0,306
,,2,10,153
,,8,0,193
407019,4,2,0,306
,,2,10,153
,,8,0,193
407020,4,2,0,306
,,2,10,153
,,8,0,193
407021,4,2,0,308
,,2,10,154
,,8,0,194
407022,4,2,0,308
,,2,10,154
,,8,0,194
407023,4,2,0,308
,,2,10,154
,,8,0,194
407024,4,2,0,308
,,2,10,154
,,8,0,194
407025,4,2,0,308
,,2,10,154
,,8,0,194
407026,4,2,0,310
,,2,10,155
,,8,0,195
407027,4,2,0,310
,,2,10,155
,,8,0,195
407028,4,2,0,310
,,2,10,155
,,8,0,195
407029,4,2,0,310
,,2,10,155
,,8,0,195
407030,4,2,0,310
,,2,10,155
,,8,0,195
407031,4,2,0,312
,,2,10,156
,,8,0,196
407032,4,2,0,312
,,2,10,156
,,8,0,196
407033,4,2,0,312
,,2,10,156
,,8,0,196
407034,4,2,0,312
,,2,10,156
,,8,0,196
407035,4,2,0,312
,,2,10,156
,,8,0,196
407036,4,2,0,314
,,2,10,157
,,8,0,197
407037,4,2,0,314
,,2,10,157
,,8,0,197
407038,4,2,0,314
,,2,10,157
,,8,0,197
407039,4,2,0,314
,,2,10,157
,,8,0,197
407040,4,2,0,314
,,2,10,157
,,8,0,197
407041,4,2,0,316
,,2,10,158
,,8,0,198
407042,4,2,0,316
,,2,10,158
,,8,0,198
407043,4,2,0,316
,,2,10,158
,,8,0,198
407044,4,2,0,316
,,2,10,158
,,8,0,198
407045,4,2,0,316
,,2,10,158
,,8,0,198
407046,4,2,0,318
,,2,10,159
,,8,0,199
407047,4,2,0,318
,,2,10,159
,,8,0,199
407048,4,2,0,318
,,2,10,159
,,8,0,199
407049,4,2,0,318
,,2,10,159
,,8,0,199
407050,4,2,0,318
,,2,10,159
,,8,0,199
408001,4,2,0,320
,,2,10,160
,,8,0,200
408002,4,2,0,320
,,2,10,160
,,8,0,200
408003,4,2,0,320
,,2,10,160
,,8,0,200
408004,4,2,0,320
,,2,10,160
,,8,0,200
408005,4,2,0,320
,,2,10,160
,,8,0,200
408006,4,2,0,322
,,2,10,161
,,8,0,201
408007,4,2,0,322
,,2,10,161
,,8,0,201
408008,4,2,0,322
,,2,10,161
,,8,0,201
408009,4,2,0,322
,,2,10,161
,,8,0,201
408010,4,2,0,322
,,2,10,161
,,8,0,201
408011,4,2,0,324
,,2,10,162
,,8,0,202
408012,4,2,0,324
,,2,10,162
,,8,0,202
408013,4,2,0,324
,,2,10,162
,,8,0,202
408014,4,2,0,324
,,2,10,162
,,8,0,202
408015,4,2,0,324
,,2,10,162
,,8,0,202
408016,4,2,0,326
,,2,10,163
,,8,0,203
408017,4,2,0,326
,,2,10,163
,,8,0,203
408018,4,2,0,326
,,2,10,163
,,8,0,203
408019,4,2,0,326
,,2,10,163
,,8,0,203
408020,4,2,0,326
,,2,10,163
,,8,0,203
408021,4,2,0,328
,,2,10,164
,,8,0,204
408022,4,2,0,328
,,2,10,164
,,8,0,204
408023,4,2,0,328
,,2,10,164
,,8,0,204
408024,4,2,0,328
,,2,10,164
,,8,0,204
408025,4,2,0,328
,,2,10,164
,,8,0,204
408026,4,2,0,330
,,2,10,165
,,8,0,205
408027,4,2,0,330
,,2,10,165
,,8,0,205
408028,4,2,0,330
,,2,10,165
,,8,0,205
408029,4,2,0,330
,,2,10,165
,,8,0,205
408030,4,2,0,330
,,2,10,165
,,8,0,205
408031,4,2,0,332
,,2,10,166
,,8,0,206
408032,4,2,0,332
,,2,10,166
,,8,0,206
408033,4,2,0,332
,,2,10,166
,,8,0,206
408034,4,2,0,332
,,2,10,166
,,8,0,206
408035,4,2,0,332
,,2,10,166
,,8,0,206
408036,4,2,0,334
,,2,10,167
,,8,0,207
408037,4,2,0,334
,,2,10,167
,,8,0,207
408038,4,2,0,334
,,2,10,167
,,8,0,207
408039,4,2,0,334
,,2,10,167
,,8,0,207
408040,4,2,0,334
,,2,10,167
,,8,0,207
408041,4,2,0,336
,,2,10,168
,,8,0,208
408042,4,2,0,336
,,2,10,168
,,8,0,208
408043,4,2,0,336
,,2,10,168
,,8,0,208
408044,4,2,0,336
,,2,10,168
,,8,0,208
408045,4,2,0,336
,,2,10,168
,,8,0,208
408046,4,2,0,338
,,2,10,169
,,8,0,209
408047,4,2,0,338
,,2,10,169
,,8,0,209
408048,4,2,0,338
,,2,10,169
,,8,0,209
408049,4,2,0,338
,,2,10,169
,,8,0,209
408050,4,2,0,338
,,2,10,169
,,8,0,209
408051,4,2,0,340
,,2,10,170
,,8,0,210
408052,4,2,0,340
,,2,10,170
,,8,0,210
408053,4,2,0,340
,,2,10,170
,,8,0,210
408054,4,2,0,340
,,2,10,170
,,8,0,210
408055,4,2,0,340
,,2,10,170
,,8,0,210
501001,5,2,0,342
,,2,10,171
,,8,0,211
501002,5,2,0,342
,,2,10,171
,,8,0,211
501003,5,2,0,342
,,2,10,171
,,8,0,211
501004,5,2,0,342
,,2,10,171
,,8,0,211
501005,5,2,0,342
,,2,10,171
,,8,0,211
501006,5,2,0,344
,,2,10,172
,,8,0,212
501007,5,2,0,344
,,2,10,172
,,8,0,212
501008,5,2,0,344
,,2,10,172
,,8,0,212
501009,5,2,0,344
,,2,10,172
,,8,0,212
501010,5,2,0,344
,,2,10,172
,,8,0,212
501011,5,2,0,346
,,2,10,173
,,8,0,213
501012,5,2,0,346
,,2,10,173
,,8,0,213
501013,5,2,0,346
,,2,10,173
,,8,0,213
501014,5,2,0,346
,,2,10,173
,,8,0,213
501015,5,2,0,346
,,2,10,173
,,8,0,213
501016,5,2,0,348
,,2,10,174
,,8,0,214
501017,5,2,0,348
,,2,10,174
,,8,0,214
501018,5,2,0,348
,,2,10,174
,,8,0,214
501019,5,2,0,348
,,2,10,174
,,8,0,214
501020,5,2,0,348
,,2,10,174
,,8,0,214
501021,5,2,0,350
,,2,10,175
,,8,0,215
501022,5,2,0,350
,,2,10,175
,,8,0,215
501023,5,2,0,350
,,2,10,175
,,8,0,215
501024,5,2,0,350
,,2,10,175
,,8,0,215
501025,5,2,0,350
,,2,10,175
,,8,0,215
501026,5,2,0,352
,,2,10,176
,,8,0,216
501027,5,2,0,352
,,2,10,176
,,8,0,216
501028,5,2,0,352
,,2,10,176
,,8,0,216
501029,5,2,0,352
,,2,10,176
,,8,0,216
501030,5,2,0,352
,,2,10,176
,,8,0,216
502001,5,2,0,354
,,2,10,177
,,8,0,217
502002,5,2,0,354
,,2,10,177
,,8,0,217
502003,5,2,0,354
,,2,10,177
,,8,0,217
502004,5,2,0,354
,,2,10,177
,,8,0,217
502005,5,2,0,354
,,2,10,177
,,8,0,217
502006,5,2,0,356
,,2,10,178
,,8,0,218
502007,5,2,0,356
,,2,10,178
,,8,0,218
502008,5,2,0,356
,,2,10,178
,,8,0,218
502009,5,2,0,356
,,2,10,178
,,8,0,218
502010,5,2,0,356
,,2,10,178
,,8,0,218
502011,5,2,0,358
,,2,10,179
,,8,0,219
502012,5,2,0,358
,,2,10,179
,,8,0,219
502013,5,2,0,358
,,2,10,179
,,8,0,219
502014,5,2,0,358
,,2,10,179
,,8,0,219
502015,5,2,0,358
,,2,10,179
,,8,0,219
502016,5,2,0,360
,,2,10,180
,,8,0,220
502017,5,2,0,360
,,2,10,180
,,8,0,220
502018,5,2,0,360
,,2,10,180
,,8,0,220
502019,5,2,0,360
,,2,10,180
,,8,0,220
502020,5,2,0,360
,,2,10,180
,,8,0,220
502021,5,2,0,362
,,2,10,181
,,8,0,221
502022,5,2,0,362
,,2,10,181
,,8,0,221
502023,5,2,0,362
,,2,10,181
,,8,0,221
502024,5,2,0,362
,,2,10,181
,,8,0,221
502025,5,2,0,362
,,2,10,181
,,8,0,221
502026,5,2,0,364
,,2,10,182
,,8,0,222
502027,5,2,0,364
,,2,10,182
,,8,0,222
502028,5,2,0,364
,,2,10,182
,,8,0,222
502029,5,2,0,364
,,2,10,182
,,8,0,222
502030,5,2,0,364
,,2,10,182
,,8,0,222
502031,5,2,0,366
,,2,10,183
,,8,0,223
502032,5,2,0,366
,,2,10,183
,,8,0,223
502033,5,2,0,366
,,2,10,183
,,8,0,223
502034,5,2,0,366
,,2,10,183
,,8,0,223
502035,5,2,0,366
,,2,10,183
,,8,0,223
503001,5,2,0,368
,,2,10,184
,,8,0,224
503002,5,2,0,368
,,2,10,184
,,8,0,224
503003,5,2,0,368
,,2,10,184
,,8,0,224
503004,5,2,0,368
,,2,10,184
,,8,0,224
503005,5,2,0,368
,,2,10,184
,,8,0,224
503006,5,2,0,370
,,2,10,185
,,8,0,225
503007,5,2,0,370
,,2,10,185
,,8,0,225
503008,5,2,0,370
,,2,10,185
,,8,0,225
503009,5,2,0,370
,,2,10,185
,,8,0,225
503010,5,2,0,370
,,2,10,185
,,8,0,225
503011,5,2,0,372
,,2,10,186
,,8,0,226
503012,5,2,0,372
,,2,10,186
,,8,0,226
503013,5,2,0,372
,,2,10,186
,,8,0,226
503014,5,2,0,372
,,2,10,186
,,8,0,226
503015,5,2,0,372
,,2,10,186
,,8,0,226
503016,5,2,0,374
,,2,10,187
,,8,0,227
503017,5,2,0,374
,,2,10,187
,,8,0,227
503018,5,2,0,374
,,2,10,187
,,8,0,227
503019,5,2,0,374
,,2,10,187
,,8,0,227
503020,5,2,0,374
,,2,10,187
,,8,0,227
503021,5,2,0,376
,,2,10,188
,,8,0,228
503022,5,2,0,376
,,2,10,188
,,8,0,228
503023,5,2,0,376
,,2,10,188
,,8,0,228
503024,5,2,0,376
,,2,10,188
,,8,0,228
503025,5,2,0,376
,,2,10,188
,,8,0,228
503026,5,2,0,378
,,2,10,189
,,8,0,229
503027,5,2,0,378
,,2,10,189
,,8,0,229
503028,5,2,0,378
,,2,10,189
,,8,0,229
503029,5,2,0,378
,,2,10,189
,,8,0,229
503030,5,2,0,378
,,2,10,189
,,8,0,229
503031,5,2,0,380
,,2,10,190
,,8,0,230
503032,5,2,0,380
,,2,10,190
,,8,0,230
503033,5,2,0,380
,,2,10,190
,,8,0,230
503034,5,2,0,380
,,2,10,190
,,8,0,230
503035,5,2,0,380
,,2,10,190
,,8,0,230
503036,5,2,0,382
,,2,10,191
,,8,0,231
503037,5,2,0,382
,,2,10,191
,,8,0,231
503038,5,2,0,382
,,2,10,191
,,8,0,231
503039,5,2,0,382
,,2,10,191
,,8,0,231
503040,5,2,0,382
,,2,10,191
,,8,0,231
504001,5,2,0,384
,,2,10,192
,,8,0,232
504002,5,2,0,384
,,2,10,192
,,8,0,232
504003,5,2,0,384
,,2,10,192
,,8,0,232
504004,5,2,0,384
,,2,10,192
,,8,0,232
504005,5,2,0,384
,,2,10,192
,,8,0,232
504006,5,2,0,386
,,2,10,193
,,8,0,233
504007,5,2,0,386
,,2,10,193
,,8,0,233
504008,5,2,0,386
,,2,10,193
,,8,0,233
504009,5,2,0,386
,,2,10,193
,,8,0,233
504010,5,2,0,386
,,2,10,193
,,8,0,233
504011,5,2,0,388
,,2,10,194
,,8,0,234
504012,5,2,0,388
,,2,10,194
,,8,0,234
504013,5,2,0,388
,,2,10,194
,,8,0,234
504014,5,2,0,388
,,2,10,194
,,8,0,234
504015,5,2,0,388
,,2,10,194
,,8,0,234
504016,5,2,0,390
,,2,10,195
,,8,0,235
504017,5,2,0,390
,,2,10,195
,,8,0,235
504018,5,2,0,390
,,2,10,195
,,8,0,235
504019,5,2,0,390
,,2,10,195
,,8,0,235
504020,5,2,0,390
,,2,10,195
,,8,0,235
504021,5,2,0,392
,,2,10,196
,,8,0,236
504022,5,2,0,392
,,2,10,196
,,8,0,236
504023,5,2,0,392
,,2,10,196
,,8,0,236
504024,5,2,0,392
,,2,10,196
,,8,0,236
504025,5,2,0,392
,,2,10,196
,,8,0,236
504026,5,2,0,394
,,2,10,197
,,8,0,237
504027,5,2,0,394
,,2,10,197
,,8,0,237
504028,5,2,0,394
,,2,10,197
,,8,0,237
504029,5,2,0,394
,,2,10,197
,,8,0,237
504030,5,2,0,394
,,2,10,197
,,8,0,237
504031,5,2,0,396
,,2,10,198
,,8,0,238
504032,5,2,0,396
,,2,10,198
,,8,0,238
504033,5,2,0,396
,,2,10,198
,,8,0,238
504034,5,2,0,396
,,2,10,198
,,8,0,238
504035,5,2,0,396
,,2,10,198
,,8,0,238
504036,5,2,0,398
,,2,10,199
,,8,0,239
504037,5,2,0,398
,,2,10,199
,,8,0,239
504038,5,2,0,398
,,2,10,199
,,8,0,239
504039,5,2,0,398
,,2,10,199
,,8,0,239
504040,5,2,0,398
,,2,10,199
,,8,0,239
504041,5,2,0,400
,,2,10,200
,,8,0,240
504042,5,2,0,400
,,2,10,200
,,8,0,240
504043,5,2,0,400
,,2,10,200
,,8,0,240
504044,5,2,0,400
,,2,10,200
,,8,0,240
504045,5,2,0,400
,,2,10,200
,,8,0,240
505001,5,2,0,402
,,2,10,201
,,8,0,241
505002,5,2,0,402
,,2,10,201
,,8,0,241
505003,5,2,0,402
,,2,10,201
,,8,0,241
505004,5,2,0,402
,,2,10,201
,,8,0,241
505005,5,2,0,402
,,2,10,201
,,8,0,241
505006,5,2,0,404
,,2,10,202
,,8,0,242
505007,5,2,0,404
,,2,10,202
,,8,0,242
505008,5,2,0,404
,,2,10,202
,,8,0,242
505009,5,2,0,404
,,2,10,202
,,8,0,242
505010,5,2,0,404
,,2,10,202
,,8,0,242
505011,5,2,0,406
,,2,10,203
,,8,0,243
505012,5,2,0,406
,,2,10,203
,,8,0,243
505013,5,2,0,406
,,2,10,203
,,8,0,243
505014,5,2,0,406
,,2,10,203
,,8,0,243
505015,5,2,0,406
,,2,10,203
,,8,0,243
505016,5,2,0,408
,,2,10,204
,,8,0,244
505017,5,2,0,408
,,2,10,204
,,8,0,244
505018,5,2,0,408
,,2,10,204
,,8,0,244
505019,5,2,0,408
,,2,10,204
,,8,0,244
505020,5,2,0,408
,,2,10,204
,,8,0,244
505021,5,2,0,410
,,2,10,205
,,8,0,245
505022,5,2,0,410
,,2,10,205
,,8,0,245
505023,5,2,0,410
,,2,10,205
,,8,0,245
505024,5,2,0,410
,,2,10,205
,,8,0,245
505025,5,2,0,410
,,2,10,205
,,8,0,245
505026,5,2,0,412
,,2,10,206
,,8,0,246
505027,5,2,0,412
,,2,10,206
,,8,0,246
505028,5,2,0,412
,,2,10,206
,,8,0,246
505029,5,2,0,412
,,2,10,206
,,8,0,246
505030,5,2,0,412
,,2,10,206
,,8,0,246
505031,5,2,0,414
,,2,10,207
,,8,0,247
505032,5,2,0,414
,,2,10,207
,,8,0,247
505033,5,2,0,414
,,2,10,207
,,8,0,247
505034,5,2,0,414
,,2,10,207
,,8,0,247
505035,5,2,0,414
,,2,10,207
,,8,0,247
505036,5,2,0,416
,,2,10,208
,,8,0,248
505037,5,2,0,416
,,2,10,208
,,8,0,248
505038,5,2,0,416
,,2,10,208
,,8,0,248
505039,5,2,0,416
,,2,10,208
,,8,0,248
505040,5,2,0,416
,,2,10,208
,,8,0,248
505041,5,2,0,418
,,2,10,209
,,8,0,249
505042,5,2,0,418
,,2,10,209
,,8,0,249
505043,5,2,0,418
,,2,10,209
,,8,0,249
505044,5,2,0,418
,,2,10,209
,,8,0,249
505045,5,2,0,418
,,2,10,209
,,8,0,249
505046,5,2,0,420
,,2,10,210
,,8,0,250
505047,5,2,0,420
,,2,10,210
,,8,0,250
505048,5,2,0,420
,,2,10,210
,,8,0,250
505049,5,2,0,420
,,2,10,210
,,8,0,250
505050,5,2,0,420
,,2,10,210
,,8,0,250
506001,5,2,0,422
,,2,10,211
,,8,0,251
506002,5,2,0,422
,,2,10,211
,,8,0,251
506003,5,2,0,422
,,2,10,211
,,8,0,251
506004,5,2,0,422
,,2,10,211
,,8,0,251
506005,5,2,0,422
,,2,10,211
,,8,0,251
506006,5,2,0,424
,,2,10,212
,,8,0,252
506007,5,2,0,424
,,2,10,212
,,8,0,252
506008,5,2,0,424
,,2,10,212
,,8,0,252
506009,5,2,0,424
,,2,10,212
,,8,0,252
506010,5,2,0,424
,,2,10,212
,,8,0,252
506011,5,2,0,426
,,2,10,213
,,8,0,253
506012,5,2,0,426
,,2,10,213
,,8,0,253
506013,5,2,0,426
,,2,10,213
,,8,0,253
506014,5,2,0,426
,,2,10,213
,,8,0,253
506015,5,2,0,426
,,2,10,213
,,8,0,253
506016,5,2,0,428
,,2,10,214
,,8,0,254
506017,5,2,0,428
,,2,10,214
,,8,0,254
506018,5,2,0,428
,,2,10,214
,,8,0,254
506019,5,2,0,428
,,2,10,214
,,8,0,254
506020,5,2,0,428
,,2,10,214
,,8,0,254
506021,5,2,0,430
,,2,10,215
,,8,0,255
506022,5,2,0,430
,,2,10,215
,,8,0,255
506023,5,2,0,430
,,2,10,215
,,8,0,255
506024,5,2,0,430
,,2,10,215
,,8,0,255
506025,5,2,0,430
,,2,10,215
,,8,0,255
506026,5,2,0,432
,,2,10,216
,,8,0,256
506027,5,2,0,432
,,2,10,216
,,8,0,256
506028,5,2,0,432
,,2,10,216
,,8,0,256
506029,5,2,0,432
,,2,10,216
,,8,0,256
506030,5,2,0,432
,,2,10,216
,,8,0,256
